country,Country₁,Continents
 FRENCH WEST AFRICA,FRENCH WEST AFRICA,EUROPE
 GABON,GABON,AFRIQUE
 GAMBIA,GAMBIA,AFRIQUE
 GEORGIA,GEORGIA,ASIA
 GERMANY,GERMANY,EUROPE
 GHANA,GHANA,AFRIQUE
 GIBRALTAR,GIBRALTAR,AFRIQUE
 GREECE,GREECE,EUROPE
 GREENLAND,GREENLAND,NORTH AMERICA
 GRENADA,GRENADA,CENTRAL AMERICA
 GUADELOUPE,GUADELOUPE,OTHER
 GUATEMALA,GUATEMALA,CENTRAL AMERICA
 GUINEA,GUINEA,AFRIQUE
 GUINEA BISSAU,GUINEA BISSAU,AFRIQUE
 GUYANA,GUYANA,SOUTH AMERICA
 HAITI,HAITI,CENTRAL AMERICA
 HONDURAS,HONDURAS,CENTRAL AMERICA
 HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,ASIA
 HUNGARY,HUNGARY,EUROPE
 ICELAND,ICELAND,EUROPE
 INDIA,INDIA,ASIA
 INDONESIA,INDONESIA,ASIA
 IRAQ,IRAQ,ASIA
 IRELAND,IRELAND,EUROPE
 ISLAMIC REPUBLIC OF IRAN,ISLAMIC REPUBLIC OF IRAN,ASIA
 ISRAEL,ISRAEL,ASIA
 ITALY (INCLUDING SAN MARINO),ITALY (INCLUDING SAN MARINO),EUROPE
 JAMAICA,JAMAICA,CENTRAL AMERICA
 JAPAN,JAPAN,ASIA
 JAPAN (EXCLUDING THE RUYUKU ISLANDS),JAPAN (EXCLUDING THE RUYUKU ISLANDS),ASIA
 JORDAN,JORDAN,ASIA
 KAZAKHSTAN,KAZAKHSTAN,ASIA
 KENYA,KENYA,AFRIQUE
 KIRIBATI,KIRIBATI,AUSTRALIA
 KUWAIT,KUWAIT,ASIA
 KUWAITI OIL FIRES,KUWAITI OIL FIRES,ASIA
 KYRGYZSTAN,KYRGYZSTAN,ASIA
 LAO PEOPLE S DEMOCRATIC REPUBLIC,LAO PEOPLE S DEMOCRATIC REPUBLIC,ASIA
 LATVIA,LATVIA,EUROPE
 LEBANON,LEBANON,ASIA
 LEEWARD ISLANDS,LEEWARD ISLANDS,OTHER
 LESOTHO,LESOTHO,AFRIQUE
 LIBERIA,LIBERIA,AFRIQUE
 LIBYAN ARAB JAMAHIRIYAH,LIBYAN ARAB JAMAHIRIYAH,AFRIQUE
 LIECHTENSTEIN,LIECHTENSTEIN,EUROPE
 LITHUANIA,LITHUANIA,EUROPE
 LUXEMBOURG,LUXEMBOURG,EUROPE
 MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,ASIA
 MACEDONIA,MACEDONIA,EUROPE
 MADAGASCAR,MADAGASCAR,AFRIQUE
 MALAWI,MALAWI,AFRIQUE
 MALAYSIA,MALAYSIA,ASIA
 MALDIVES,MALDIVES,ASIA
 MALI,MALI,AFRIQUE
 MALTA,MALTA,EUROPE
 MARSHALL ISLANDS,MARSHALL ISLANDS,AUSTRALIA
 MARTINIQUE,MARTINIQUE,OTHER
 MAURITANIA,MAURITANIA,AFRIQUE
 MAURITIUS,MAURITIUS,AFRIQUE
 MEXICO,MEXICO,NORTH AMERICA
 MONGOLIA,MONGOLIA,ASIA
 MONTENEGRO,MONTENEGRO,OTHER
 MONTSERRAT,MONTSERRAT,OTHER
 MOROCCO,MOROCCO,AFRIQUE
 MOZAMBIQUE,MOZAMBIQUE,AFRIQUE
 MYANMAR (FORMERLY BURMA),MYANMAR (FORMERLY BURMA),ASIA
 NAMIBIA,NAMIBIA,AFRIQUE
 NAURU,NAURU,AUSTRALIA
 NEPAL,NEPAL,ASIA
 NETHERLAND ANTILLES,NETHERLAND ANTILLES,EUROPE
 NETHERLAND ANTILLES AND ARUBA,NETHERLAND ANTILLES AND ARUBA,EUROPE
 NETHERLANDS,NETHERLANDS,EUROPE
 NEW CALEDONIA,NEW CALEDONIA,AUSTRALIA
 NEW ZEALAND,NEW ZEALAND,AUSTRALIA
 NICARAGUA,NICARAGUA,CENTRAL AMERICA
 NIGER,NIGER,AFRIQUE
 NIGERIA,NIGERIA,AFRIQUE
 NIUE,NIUE,OTHER
 NORWAY,NORWAY,EUROPE
 OCCUPIED PALESTINIAN TERRITORY,OCCUPIED PALESTINIAN TERRITORY,ASIA
 OMAN,OMAN,ASIA
 PACIFIC ISLANDS (PALAU),PACIFIC ISLANDS (PALAU),AUSTRALIA
 PAKISTAN,PAKISTAN,ASIA
 PALAU,PALAU,AUSTRALIA
 PANAMA,PANAMA,CENTRAL AMERICA
 PAPUA NEW GUINEA,PAPUA NEW GUINEA,AUSTRALIA
 PARAGUAY,PARAGUAY,SOUTH AMERICA
 PENINSULAR MALAYSIA,PENINSULAR MALAYSIA,ASIA
 PERU,PERU,SOUTH AMERICA
 PHILIPPINES,PHILIPPINES,ASIA
 PLURINATIONAL STATE OF BOLIVIA,PLURINATIONAL STATE OF BOLIVIA,SOUTH AMERICA
 POLAND,POLAND,EUROPE
 PORTUGAL,PORTUGAL,EUROPE
 PUERTO RICO,PUERTO RICO,CENTRAL AMERICA
 QATAR,QATAR,ASIA
 REPUBLIC OF CAMEROON,REPUBLIC OF CAMEROON,AFRIQUE
 REPUBLIC OF KOREA,REPUBLIC OF KOREA,ASIA
 REPUBLIC OF MOLDOVA,REPUBLIC OF MOLDOVA,EUROPE
 REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SOUTH SUDAN,AFRIQUE
 REPUBLIC OF SOUTH VIETNAM,REPUBLIC OF SOUTH VIETNAM,ASIA
 REPUBLIC OF SUDAN,REPUBLIC OF SUDAN,AFRIQUE
 REUNION,REUNION,OTHER
 RHODESIA-NYASALAND,RHODESIA-NYASALAND,OTHER
 ROMANIA,ROMANIA,EUROPE
 RUSSIAN FEDERATION,RUSSIAN FEDERATION,ASIA
 RWANDA,RWANDA,AFRIQUE
 RWANDA-URUNDI,RWANDA-URUNDI,OTHER
 RYUKYU ISLANDS,RYUKYU ISLANDS,OTHER
 SABAH,SABAH,CENTRAL AMERICA
 SAINT HELENA,SAINT HELENA,CENTRAL AMERICA
 SAINT LUCIA,SAINT LUCIA,CENTRAL AMERICA
 SAINT MARTIN (DUTCH PORTION),SAINT MARTIN (DUTCH PORTION),CENTRAL AMERICA
 SAMOA,SAMOA,AUSTRALIA
 SAO TOME & PRINCIPE,SAO TOME & PRINCIPE,AFRIQUE
 SARAWAK,SARAWAK,OTHER
 SAUDI ARABIA,SAUDI ARABIA,ASIA
 SENEGAL,SENEGAL,AFRIQUE
 SERBIA,SERBIA,EUROPE
 SEYCHELLES,SEYCHELLES,AFRIQUE
 SIERRA LEONE,SIERRA LEONE,AFRIQUE
 SINGAPORE,SINGAPORE,ASIA
 SLOVAKIA,SLOVAKIA,EUROPE
 SLOVENIA,SLOVENIA,EUROPE
 SOLOMON ISLANDS,SOLOMON ISLANDS,AUSTRALIA
 SOMALIA,SOMALIA,AFRIQUE
 SOUTH AFRICA,SOUTH AFRICA,AFRIQUE
 SPAIN,SPAIN,EUROPE
 SRI LANKA,SRI LANKA,ASIA
 ST. KITTS-NEVIS,ST. KITTS-NEVIS,CENTRAL AMERICA
 ST. KITTS-NEVIS-ANGUILLA,ST. KITTS-NEVIS-ANGUILLA,CENTRAL AMERICA
 ST. PIERRE & MIQUELON,ST. PIERRE & MIQUELON,CENTRAL AMERICA
 ST. VINCENT & THE GRENADINES,ST. VINCENT & THE GRENADINES,CENTRAL AMERICA
 SUDAN,SUDAN,AFRIQUE
 SURINAME,SURINAME,SOUTH AMERICA
 SWAZILAND,SWAZILAND,AFRIQUE
 SWEDEN,SWEDEN,EUROPE
 SWITZERLAND,SWITZERLAND,EUROPE
 SYRIAN ARAB REPUBLIC,SYRIAN ARAB REPUBLIC,ASIA
 TAIWAN,TAIWAN,ASIA
 TAJIKISTAN,TAJIKISTAN,ASIA
 TANGANYIKA,TANGANYIKA,OTHER
 THAILAND,THAILAND,ASIA
 TIMOR-LESTE (FORMERLY EAST TIMOR),TIMOR-LESTE (FORMERLY EAST TIMOR),ASIA
 TOGO,TOGO,AFRIQUE
 TONGA,TONGA,AUSTRALIA
 TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,CENTRAL AMERICA
 TURKEY,TURKEY,ASIA
 TURKMENISTAN,TURKMENISTAN,ASIA
 TURKS AND CAICOS ISLANDS,TURKS AND CAICOS ISLANDS,CENTRAL AMERICA
 TUVALU,TUVALU,AUSTRALIA
 UGANDA,UGANDA,AFRIQUE
 UKRAINE,UKRAINE,EUROPE
 UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,ASIA
 UNITED KINGDOM,UNITED KINGDOM,EUROPE
 UNITED KOREA,UNITED KOREA,ASIA
 UNITED REPUBLIC OF TANZANIA,UNITED REPUBLIC OF TANZANIA,AFRIQUE
 UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,NORTH AMERICA
 URUGUAY,URUGUAY,SOUTH AMERICA
 USSR,USSR,OTHER
 UZBEKISTAN,UZBEKISTAN,ASIA
 VANUATU,VANUATU,AUSTRALIA
 VENEZUELA,VENEZUELA,SOUTH AMERICA
 VIET NAM,VIET NAM,ASIA
 WALLIS AND FUTUNA ISLANDS,WALLIS AND FUTUNA ISLANDS,OTHER
 YEMEN,YEMEN,ASIA
 YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),OTHER
 YUGOSLAVIA (MONTENEGRO & SERBIA),YUGOSLAVIA (MONTENEGRO & SERBIA),EUROPE
 ZAMBIA,ZAMBIA,AFRIQUE
 ZANZIBAR,ZANZIBAR,AFRIQUE
 ZIMBABWE,ZIMBABWE,AFRIQUE
TUNISIA,TUNISIA,AFRIQUE
